Job Title,Department,Service Area,Annual Salary
City Manager,City Manager's Office,Executive Services,278475.08
Broadband Executive Director,Broadband,Utility Services,247999.96
City Attorney,City Attorney's Office,Legal Services,206090.04
Chief Of Police,Police Administration,Police Services,203692.92
Deputy City Manager,City Manager's Office,Executive Services,201368.47
Administrative Fire Chief,Poudre Fire Authority,Poudre Fire Authority,192757.5
Police Deputy Chief,Police Administration,Police Services,176177.88
Chief Judge,Municipal Court,Judicial Services,165000
Director Of PDT,PDT Administration,"Planning, Dev & Transportation",164999.9
Chief Human Resources Officer,Human Resources,Information & Employee Svcs,164800.1
Deputy City Attorney,City Attorney's Office,Legal Services,164441.75
Chief Sustainability Officer,Sustainability Services Admin,Sustainability Services,159650.04
Sr Assistant City Attorney,City Attorney's Office,Legal Services,157690
Chief Information Officer,Information Technology,Information & Employee Svcs,156999.96
PFA Dir of Administrative Serv,Poudre Fire Authority,Poudre Fire Authority,155454
"Deputy Director, Utilities",L&P Administration,Utility Services,155000.04
Division Chief,Poudre Fire Authority,Poudre Fire Authority,154804
Division Chief,Poudre Fire Authority,Poudre Fire Authority,154804
Division Chief,Poudre Fire Authority,Poudre Fire Authority,154804
Police Assistant Chief,Patrol,Police Services,149968
Police Assistant Chief,Investigations,Police Services,149968
Police Assistant Chief,Special Operations,Police Services,149968
Division Chief,Poudre Fire Authority,Poudre Fire Authority,148642
Sr Assistant City Attorney,City Attorney's Office,Legal Services,145976.97
Library Director,Library District,Library District,142054.64
"Director, Information Services",Police Information Services,Police Services,141442.05
"Director, Broadband",Broadband,Utility Services,140712
"Director, Elec Engineering",L&P Electrical Engineering,Utility Services,140294.12
Police Lieutenant,City Manager's Office,Executive Services,139838
Police Lieutenant,Patrol,Police Services,139838
Police Lieutenant,Special Operations,Police Services,139838
Police Lieutenant,Patrol,Police Services,139838
Police Lieutenant,Police Administration,Police Services,139838
Police Lieutenant,Police Administration,Police Services,139838
Police Lieutenant,Special Operations,Police Services,139838
Police Lieutenant,Patrol,Police Services,139838
Police Lieutenant,Patrol,Police Services,139838
Police Lieutenant,Investigations,Police Services,139838
Police Lieutenant,Special Operations,Police Services,139838
Police Lieutenant,Investigations,Police Services,139838
Battalion Chief II - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,139022
Battalion Chief II - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,139022
Battalion Chief II - 40 Hr/Wk,Poudre Fire Authority,Poudre Fire Authority,139022
